Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,Primary Industry description
airbus se,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,airbus,https://permid.org/1-4295884955,Airbus SE,92%,Excellent,True,Aerospace & Defense,Industrial Goods,Industrials,Netherlands,Netherlands,"Producers of commercial, military and private aircraft and spacecraft. Includes manufacturers of military equipment, vehicles, explosive ordnance, guidance systems, artillery, ammunition and other related weaponry. Includes also manufacturers of satellites."
akelius residential property finance bv,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),19%,Possible,akelius residential property finance,https://permid.org/1-4297166223,Akelius Residential Property AB (publ),24%,Possible,True,Real Estate Operations,Real Estate,Real Estate,Sweden,Sweden,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
akzo nobel nv,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,akzo nobel,https://permid.org/1-4295884730,Akzo Nobel NV,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Netherlands,Netherlands,"Producers and refiners of agricultural, commodity and specialty chemicals."
albemarle new holding gmbh,https://permid.org/1-5053503107,Albemarle New Holding GmbH,92%,Excellent,albemarle new holding,https://permid.org/1-5053503107,Albemarle New Holding GmbH,67%,Good,True,Investment Holding Companies,Investment Holding Companies,Financials,Germany,Germany,"Companies primarily engaged in investing in securities/stakes of other companies and for their own profits. Investment Holding Companies might have both minority and majority stakes. Excludes companies investing in private equity firms, classified in Private Equity; companies investing in venture capital firms, classified in Venture Capital; companies operating through subsidiaries/majority-held entities in various economic segments, classified according to the dominant segment of activity or, in case of a significant size and lack of dominant segment, in Industrial Conglomerates; UK-type investment trusts, classified in UK Investment Trusts."
alliander nv,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,alliander,https://permid.org/1-4295884948,Alliander NV,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
allianz finance ii bv,https://permid.org/1-4296777983,Allianz Finance II BV,92%,Excellent,allianz finance ii,https://permid.org/1-5043447638,Allianz Finance II Luxembourg SA,54%,Possible,False,Insurance,Insurance,Financials,Netherlands,Netherlands,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
alstom sa,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,alstom,https://permid.org/1-4295867565,Alstom SA,92%,Excellent,True,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,France,France,"Manufacturers of industrial, construction, agricultural and electrical machinery, equipment & components, and shipbuilders."
alstria office reit ag,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,alstria office reit,https://permid.org/1-4295870318,alstria office REIT AG,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,Germany,Germany,Investment trusts that secure interests related to rights on residential and commercial real estate.
altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,altarea,https://permid.org/1-4295867836,Altarea SCA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,France,France,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
altareit sca,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,altareit,https://permid.org/1-4295866910,Altareit SCA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,France,France,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
amadeus capital markets sau,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92%,Excellent,amadeus capital markets,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77%,Good,True,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
amadeus it group sa,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,amadeus it group,https://permid.org/1-5000724903,Amadeus IT Group SA,92%,Excellent,True,Software & IT Services,Software & IT Services,Technology,Spain,Spain,"Developers and marketers of generic system and application software, as well as providers of consulting and IT services."
amphenol technologies holding gmbh,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,92%,Excellent,amphenol technologies holding,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,67%,Good,True,Electronic Equipment & Parts,Technology Equipment,Technology,Germany,Germany,"Manufacturers of electronic products, such as biometric products, electronic components and parts and display screens."
anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
anheuser busch inbev nv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,84%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True,0,0,0,0,0,0
anheuser busch inbev nvsa,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,67%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
anheuser busch inbev sanv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,68%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80%,Good,True,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
apetra nv,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,apetra,https://permid.org/1-4298251365,Apetra NV,92%,Excellent,True,Oil & Gas,Energy - Fossil Fuels,Energy,Belgium,Belgium,"Producers, refiners and transporters of raw and refined oil and gas products."
aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,France,France,"Owners and operators of highways, rail tracks, airports, and marine ports."
aprr sa,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,aprr,https://permid.org/1-4295868502,Aprr SA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,France,France,"Owners and operators of highways, rail tracks, airports, and marine ports."
arcelormittal sa,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,arcelormittal,https://permid.org/1-5000030092,ArcelorMittal SA,92%,Excellent,True,Metals & Mining,Mineral Resources,Basic Materials,Luxembourg,Luxembourg,"Miners and processors of precious metals & minerals, steel, aluminum and specialty metals and minerals. Includes integrated mining, and mining support services & equipment companies."
arkema sa,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,arkema,https://permid.org/1-4295867361,Arkema SA,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,France,France,"Producers and refiners of agricultural, commodity and specialty chemicals."
aroundtown sa,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,aroundtown,https://permid.org/1-5057820156,Aroundtown SA,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Luxembourg,Luxembourg,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
asml holding nv,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,asml holding,https://permid.org/1-4295884869,ASML Holding NV,92%,Excellent,True,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,Netherlands,Netherlands,"Designers and manufacturers of semiconductors, as well as producers of testing and manufacturing equipment for semiconductor manufacturers."
assicurazioni generali spa,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,assicurazioni generali,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92%,Excellent,True,Insurance,Insurance,Financials,Italy,Italy,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
atf netherlands bv,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,atf netherlands,https://permid.org/1-5052144618,ATF Netherlands BV,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Netherlands,Netherlands,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
atlantia spa,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,atlantia,https://permid.org/1-4295875318,Atlantia SpA,92%,Excellent,True,0,0,0,0,0,0
atlas copco finance dac,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92%,Excellent,atlas copco finance,https://permid.org/1-4298313843,Epiroc Financial Solutions AB,22%,Possible,False,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
atos se,https://permid.org/1-4295867015,Atos SE,92%,Excellent,atos,https://permid.org/1-4295867015,Atos SE,92%,Excellent,True,Software & IT Services,Software & IT Services,Technology,France,France,"Developers and marketers of generic system and application software, as well as providers of consulting and IT services."
auchan holding sa,,,,No Match,auchan holding,https://permid.org/1-5024332092,Auchan II Holding UK Ltd,13%,Possible,False,0,0,0,0,0,0
autoroutes du sud de la france,https://permid.org/1-4295867620,Autoroutes du Sud de la France SA,83%,Good,autoroutes du sud de la france,https://permid.org/1-4295867620,Autoroutes du Sud de la France SA,83%,Good,True,Transport Infrastructure,Transportation,Industrials,France,France,"Owners and operators of highways, rail tracks, airports, and marine ports."
autostr bresvervicpad spa,,,,No Match,autostr bresvervicpad,,,,No Match,False,0,0,0,0,0,0
autostrada brescia verona vicenza padova spa,https://permid.org/1-4296668015,A4 Holding SpA,92%,Excellent,autostrada brescia verona vicenza padova,https://permid.org/1-4296668015,A4 Holding SpA,82%,Good,True,Transport Infrastructure,Transportation,Industrials,Italy,Italy,"Owners and operators of highways, rail tracks, airports, and marine ports."
autostrade per l italia spa,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,17%,Possible,autostrade per l italia,,,,No Match,False,0,0,0,0,0,0
autostrade per litalia spa,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,92%,Excellent,autostrade per litalia,https://permid.org/1-5000025561,Autostrade per l'Italia SpA,92%,Excellent,True,Transport Infrastructure,Transportation,Industrials,Italy,Italy,"Owners and operators of highways, rail tracks, airports, and marine ports."
axa sa,https://permid.org/1-4295867483,AXA SA,92%,Excellent,axa,https://permid.org/1-4295867483,AXA SA,92%,Excellent,True,Insurance,Insurance,Financials,France,France,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers."
balder finland oyj,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,balder finland,https://permid.org/1-5074787774,Balder Finland Oyj,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Finland,Finland,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
barry callebaut services nv,https://permid.org/1-4297241934,Barry Callebaut Services NV,92%,Excellent,barry callebaut service,https://permid.org/1-5063146718,Barry Callebaut Cocoa Management Services SA de CV,43%,Possible,False,0,0,0,0,0,0
basf finance europe nv,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,basf finance europe,https://permid.org/1-4296432601,Basf Finance Europe NV,92%,Excellent,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
basf se,https://permid.org/1-4295869198,BASF SE,92%,Excellent,basf,https://permid.org/1-4295869198,BASF SE,43%,Possible,True,Chemicals,Chemicals,Basic Materials,Germany,Germany,"Producers and refiners of agricultural, commodity and specialty chemicals."
bat netherlands finance bv,https://permid.org/1-5042933956,BAT Netherlands Finance BV,92%,Excellent,bat netherlands finance,https://permid.org/1-5042933956,BAT Netherlands Finance BV,65%,Good,True,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
bayer ag,https://permid.org/1-4295869217,Bayer AG,92%,Excellent,bayer,https://permid.org/1-4295869217,Bayer AG,92%,Excellent,True,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,Germany,Germany,"Manufacturers and marketers of generic and specialty drugs, as well as researchers and developers of new drugs, medical products and procedures."
bayer capital corp bv,https://permid.org/1-4296954345,Bayer Capital Corporation BV,92%,Excellent,bayer capital corp,https://permid.org/1-4296432607,Bayer Capital NV,21%,Possible,False,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,Netherlands,Netherlands,"Manufacturers and marketers of generic and specialty drugs, as well as researchers and developers of new drugs, medical products and procedures."
befimmo sa,https://permid.org/1-4295859373,Befimmo SA,92%,Excellent,befimmo,https://permid.org/1-4295859373,Befimmo SA,92%,Excellent,True,Residential & Commercial REITs,Real Estate,Real Estate,Belgium,Belgium,Investment trusts that secure interests related to rights on residential and commercial real estate.
beni stabili spa siiq,https://permid.org/1-4295875468,Beni Stabili SpA Societa di Investimento Immobiliare Quotata,92%,Excellent,beni stabili spa siiq,https://permid.org/1-4295875468,Beni Stabili SpA Societa di Investimento Immobiliare Quotata,92%,Excellent,True,Professional & Commercial Services,Industrial & Commercial Services,Industrials,Italy,Italy,"Providers of environmental, employment, business support, professional information, and commercial printing services and supplies."
bertelsmann se  co kgaa,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,79%,Good,bertelsmann se  co,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,21%,Possible,True,Media & Publishing,Cyclical Consumer Services,Consumer Cyclicals,Germany,Germany,"Providers of advertising, marketing, broadcasting, entertainment production and publishing services."
bertelsmann se kgaa,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,63%,Good,bertelsmann se,https://permid.org/1-5037662836,Bertelsmann SE & Co KGaA,42%,Possible,True,Media & Publishing,Cyclical Consumer Services,Consumer Cyclicals,Germany,Germany,"Providers of advertising, marketing, broadcasting, entertainment production and publishing services."
bevco lux sarl,https://permid.org/1-5052148475,Bevco Lux SARL,92%,Excellent,bevco lux,https://permid.org/1-5052148475,Bevco Lux SARL,92%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
bmw finance nv,https://permid.org/1-4298251653,BMW Financial Services Belgium NV,23%,Possible,bmw finance,,,,No Match,False,0,0,0,0,0,0
borealis ag,https://permid.org/1-4298142340,Borealis AG,92%,Excellent,borealis,,,,No Match,False,0,0,0,0,0,0
bouygues,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,bouygue,,,,No Match,False,Construction & Engineering,Industrial & Commercial Services,Industrials,France,France,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects. Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings. Includes also manufacturers of heavy machinery for permanent installation."
bouygues sa,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,bouygues,https://permid.org/1-4295867226,Bouygues SA,92%,Excellent,True,Construction & Engineering,Industrial & Commercial Services,Industrials,France,France,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects. Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings. Includes also manufacturers of heavy machinery for permanent installation."
bp capital markets bv,https://permid.org/1-5076380855,BP Capital Markets BV,92%,Excellent,bp capital markets,https://permid.org/1-5000029986,BP Capital Markets America Inc,36%,Possible,False,Banking Services,Banking & Investment Services,Financials,United Kingdom,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
bp capital markets plc,https://permid.org/1-4296765192,BP Capital Markets PLC,92%,Excellent,bp capital markets,https://permid.org/1-5000029986,BP Capital Markets America Inc,36%,Possible,False,Banking Services,Banking & Investment Services,Financials,United Kingdom,United Kingdom,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
brenntag finance bv,https://permid.org/1-5035396659,Brenntag Finance BV,92%,Excellent,brenntag finance,https://permid.org/1-5035396659,Brenntag Finance BV,92%,Excellent,True,Chemicals,Chemicals,Basic Materials,Netherlands,Netherlands,"Producers and refiners of agricultural, commodity and specialty chemicals."
brisa concessao rodoviaria,https://permid.org/1-5001421091,Brisa Concessao Rodoviaria SA,83%,Good,brisa concessao rodoviaria,https://permid.org/1-5001421091,Brisa Concessao Rodoviaria SA,83%,Good,True,Transport Infrastructure,Transportation,Industrials,Portugal,Portugal,"Owners and operators of highways, rail tracks, airports, and marine ports."
brussels airport company sanv,https://permid.org/1-5000877078,Brussels Airport,12%,Possible,brussels airport company,https://permid.org/1-4297650390,Brussels Airport Company NV,92%,Excellent,False,Transport Infrastructure,Transportation,Industrials,Belgium,Belgium,"Owners and operators of highways, rail tracks, airports, and marine ports."
bunge finance europe bv,https://permid.org/1-5000214282,Bunge Finance Europe BV,92%,Excellent,bunge finance europe,https://permid.org/1-5000214282,Bunge Finance Europe BV,60%,Good,True,Banking Services,Banking & Investment Services,Financials,United States,Netherlands,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
buzzi unicem spa,https://permid.org/1-4295875751,Buzzi Unicem SpA,92%,Excellent,buzzi unicem,https://permid.org/1-4295875751,Buzzi Unicem SpA,92%,Excellent,True,Construction Materials,Mineral Resources,Basic Materials,Italy,Italy,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services."
ca immobilien anlagen ag,https://permid.org/1-4295858951,CA Immobilien Anlagen AG,92%,Excellent,ca immobilien anlagen,https://permid.org/1-4295858951,CA Immobilien Anlagen AG,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Austria,Austria,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
cap gemini,https://permid.org/1-4297695613,Sogeti SAS,92%,Excellent,cap gemini,https://permid.org/1-4297695613,Sogeti SAS,92%,Excellent,True,Software & IT Services,Software & IT Services,Technology,France,France,"Developers and marketers of generic system and application software, as well as providers of consulting and IT services."
carmila,https://permid.org/1-4297628655,Carmila SA,55%,Possible,carmila,https://permid.org/1-4297628655,Carmila SA,55%,Possible,True,Residential & Commercial REITs,Real Estate,Real Estate,France,France,Investment trusts that secure interests related to rights on residential and commercial real estate.
carrefour sa,https://permid.org/1-4295866751,Carrefour SA,92%,Excellent,carrefour,https://permid.org/1-4295866751,Carrefour SA,92%,Excellent,True,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,France,France,"Retailers operating pharmacies, grocery, convenience, liquor and specialty food stores."
caterpillar intl finance ltd,,,,No Match,caterpillar intl finance,https://permid.org/1-4296547049,Caterpillar International Finance DAC,92%,Excellent,False,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,Ireland,Ireland,"Manufacturers of industrial, construction, agricultural and electrical machinery, equipment & components, and shipbuilders."
ceetrus sa,https://permid.org/1-5057945093,Ceetrus Finance SA,49%,Possible,ceetrus,https://permid.org/1-5057945093,Ceetrus Finance SA,33%,Possible,True,0,0,0,0,0,0
cellnex finance company sau,,,,No Match,cellnex finance company,https://permid.org/1-5079192042,Cellnex Finance Company SA,92%,Excellent,False,Banking Services,Banking & Investment Services,Financials,Spain,Spain,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
cellnex telecom sa,https://permid.org/1-5043416261,Cellnex Telecom SA,92%,Excellent,cellnex telecom,https://permid.org/1-5043416261,Cellnex Telecom SA,92%,Excellent,True,Telecommunications Services,Telecommunications Services,Technology,Spain,Spain,Owners and operators of fixed line and wireless telecommunication networks providing voice and data services.
cepsa finance saflds,,,,No Match,cepsa finance safld,,,,No Match,False,0,0,0,0,0,0
ciba spc chem fin lxbg sa,,,,No Match,ciba spc chem fin lxbg,,,,No Match,False,0,0,0,0,0,0
citycon oyj,https://permid.org/1-4295866323,Citycon Oyj,92%,Excellent,citycon,https://permid.org/1-4295866323,Citycon Oyj,92%,Excellent,True,Real Estate Operations,Real Estate,Real Estate,Finland,Finland,"Developers and managers of real estate who build, rent and lease residential and commercial properties. Includes real estate brokerage and agency services, real estate appraisal services and consulting services."
citycon treasury bv,https://permid.org/1-5044006655,Citycon Treasury BV,92%,Excellent,citycon treasury,https://permid.org/1-5044006655,Citycon Treasury BV,92%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations."
ck hutchison grp telefin sa,,,,No Match,ck hutchison grp telefin,,,,No Match,False,0,0,0,0,0,0
cnh industrial finance eurosa,,,,No Match,cnh industrial finance euro,,,,No Match,False,0,0,0,0,0,0
coca cola hbc finance bv,https://permid.org/1-4296869348,Coca Cola HBC Finance BV,92%,Excellent,coca cola hbc finance,https://permid.org/1-5000022650,Coca-Cola HBC Finance PLC,92%,Excellent,False,Beverages,Food & Beverages,Consumer Non-Cyclicals,Netherlands,Netherlands,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
coentreprise de transport delectricite,https://permid.org/1-5056398725,Coentreprise De Transport d'electricite SA,92%,Excellent,coentreprise de transport delectricite,https://permid.org/1-5056398725,Coentreprise De Transport d'electricite SA,92%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,France,France,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators."
