Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description,green
vantage towers ag,https://permid.org/1-5076167430,Vantage Towers AG,92.00%,Excellent,vantage towers,https://permid.org/1-5080045750,Vantage Towers AE,92.00%,Excellent,False,Construction & Engineering,Industrial & Commercial Services,Industrials,Germany,Germany,522010.0,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects. Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings. Includes also manufacturers of heavy machinery for permanent installation.",1
vinci,https://permid.org/1-4295867538,Vinci SA,92.00%,Excellent,vinci,https://permid.org/1-4295867538,Vinci SA,92.00%,Excellent,True,Construction & Engineering,Industrial & Commercial Services,Industrials,France,France,522010.0,"Builders and engineers that undertake commercial building, civil engineering, utility and other industrial plant construction projects. Includes builders of transportation infrastructure, dam and water works, as well as hotel, office buildings. Includes also manufacturers of heavy machinery for permanent installation.",1
buzzi unicem spa,https://permid.org/1-4295875751,Buzzi Unicem SpA,92.00%,Excellent,buzzi unicem,https://permid.org/1-4295875751,Buzzi Unicem SpA,92.00%,Excellent,True,Construction Materials,Mineral Resources,Basic Materials,Italy,Italy,512020.0,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services.",1
crh finland services oyj,https://permid.org/1-5040186325,CRH Finland Services Oyj,92.00%,Excellent,crh finland services,https://permid.org/1-5040186325,CRH Finland Services Oyj,61.00%,Good,True,Construction Materials,Mineral Resources,Basic Materials,Finland,Finland,512020.0,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services.",1
crh funding bv,https://permid.org/1-5040185854,CRH Funding BV,92.00%,Excellent,crh funding,https://permid.org/1-4297743209,CRH Group Funding Ltd,13.00%,Possible,False,Construction Materials,Mineral Resources,Basic Materials,Netherlands,Netherlands,512020.0,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services.",1
groupe bruxelles lambert sa,https://permid.org/1-5066557287,Groupe Bruxelles Lambert SA,92.00%,Excellent,groupe bruxelles lambert,https://permid.org/1-4295859531,Groep Brussel Lambert NV,92.00%,Excellent,False,Construction Materials,Mineral Resources,Basic Materials,Belgium,Belgium,512020.0,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services.",1
heidelbergcement ag,https://permid.org/1-4295868961,HeidelbergCement AG,92.00%,Excellent,heidelbergcement,https://permid.org/1-4295868961,HeidelbergCement AG,75.00%,Good,True,Construction Materials,Mineral Resources,Basic Materials,Germany,Germany,512020.0,"Miners and producers of raw materials for road and building construction. Includes extractors of sand, gravel, rock, clay, granite, limestone, marble, slate, gypsum, lime, and producers of cement, concrete, and bricks, as well as operators of filtering, bleaching, crushing, cutting, sizing and processing services.",1
siemens financieringsmaatschappij nv,https://permid.org/1-4296784388,Siemens Financieringsmaatschappij NV,92.00%,Excellent,siemens financieringsmaatschappij,https://permid.org/1-4296784388,Siemens Financieringsmaatschappij NV,92.00%,Excellent,True,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Non-Cyclicals,Netherlands,Netherlands,544010.0,"Large organizations, engaged in multiple business lines within the consumer goods sectors, including non-cyclical consumer goods and cyclical consumer goods.",0
mondi finance,https://permid.org/1-5000682750,Mondi Finance PLC,92.00%,Excellent,mondi finance,https://permid.org/1-5000682750,Mondi Finance PLC,92.00%,Excellent,True,Containers & Packaging,Applied Resources,Basic Materials,United Kingdom,United Kingdom,513020.0,"Manufacturers of containers, as well as providers of packaging services.",1
a2a spa,https://permid.org/1-5000005309,A2A SpA,92.00%,Excellent,a2a,https://permid.org/1-5000005309,A2A SpA,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
alliander nv,https://permid.org/1-4295884948,Alliander NV,92.00%,Excellent,alliander,https://permid.org/1-4295884948,Alliander NV,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
coentreprise de transport delectricite,https://permid.org/1-5056398725,Coentreprise De Transport d'electricite SA,92.00%,Excellent,coentreprise de transport delectricite,https://permid.org/1-5056398725,Coentreprise De Transport d'electricite SA,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,France,France,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
edp energias de portugal sa,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92.00%,Excellent,edp energias de portugal,https://permid.org/1-4295886834,EDP Energias de Portugal SA,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Portugal,Portugal,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
edp finance bv,https://permid.org/1-4297963439,EDP Finance BV,92.00%,Excellent,edp finance,https://permid.org/1-4297963439,EDP Finance BV,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
eesti energia as,https://permid.org/1-4296466265,Eesti Energia AS,92.00%,Excellent,eesti energia,https://permid.org/1-4296466265,Eesti Energia AS,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Estonia,Estonia,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
elering as,https://permid.org/1-4298221301,Elering AS,92.00%,Excellent,elering,https://permid.org/1-4298221301,Elering AS,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Estonia,Estonia,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
elia group sa,https://permid.org/1-4295859541,Elia Group SA,92.00%,Excellent,elia group,https://permid.org/1-4295859541,Elia Group SA,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74.00%,Good,elia transmission belgium,https://permid.org/1-5071549731,Elia Transmission Belgium NV,74.00%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Belgium,Belgium,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
enel finance intl nv,https://permid.org/1-5001426741,ENEL Finance International NV,92.00%,Excellent,enel finance intl,https://permid.org/1-5001426741,ENEL Finance International NV,69.00%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
enel spa,https://permid.org/1-4295875798,Enel SpA,92.00%,Excellent,enel,https://permid.org/1-4295875798,Enel SpA,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
enexis holding nv,https://permid.org/1-4298484226,Enexis Holding NV,92.00%,Excellent,enexis holding,https://permid.org/1-4298484226,Enexis Holding NV,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
erg spa,https://permid.org/1-4295875564,ERG SpA,92.00%,Excellent,erg,https://permid.org/1-4295875564,ERG SpA,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
esb finance dac,https://permid.org/1-5000653057,ESB Finance DAC,92.00%,Excellent,esb finance,https://permid.org/1-5044197201,ESB Financial Enterprises Ltd,92.00%,Excellent,False,Electric Utilities & IPPs,Utilities,Utilities,Ireland,Ireland,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
evn ag,https://permid.org/1-4295859045,EVN AG,92.00%,Excellent,evn,https://permid.org/1-4295859045,EVN AG,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Austria,Austria,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
fingrid oyj,https://permid.org/1-4296543266,Fingrid Oyj,92.00%,Excellent,fingrid,https://permid.org/1-4296543266,Fingrid Oyj,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Finland,Finland,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
fortum oyj,https://permid.org/1-4295866494,Fortum Oyj,92.00%,Excellent,fortum,https://permid.org/1-4295866494,Fortum Oyj,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Finland,Finland,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
ignitis grupe uab,https://permid.org/1-5000609627,Ignitis Grupe AB,89.00%,Good,ignitis grupe uab,https://permid.org/1-5000609627,Ignitis Grupe AB,89.00%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Lithuania,Lithuania,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
lietuvos energija uab,https://permid.org/1-5069461045,Lietuvos Energija Renewables UAB,45.00%,Possible,lietuvos energija uab,https://permid.org/1-5069461045,Lietuvos Energija Renewables UAB,45.00%,Possible,True,Electric Utilities & IPPs,Utilities,Utilities,Lithuania,,5910.0,"Producers and distributors of electricity, natural gas, water, steam and utility infrastructure operators.",0
red electrica corporacion sa,https://permid.org/1-4295889513,Red Electrica Corporacion SA,92.00%,Excellent,red electrica corporacion,https://permid.org/1-4295889513,Red Electrica Corporacion SA,80.00%,Good,True,Electric Utilities & IPPs,Utilities,Utilities,Spain,Spain,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
stedin holding nv,https://permid.org/1-4296088639,Stedin Holding NV,92.00%,Excellent,stedin holding,https://permid.org/1-4296088639,Stedin Holding NV,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
teollisuuden voima oyj,https://permid.org/1-4295866515,Teollisuuden Voima Oyj,92.00%,Excellent,teollisuuden voima,https://permid.org/1-4295866515,Teollisuuden Voima Oyj,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Finland,Finland,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
terna rete elettrica naziospa,https://permid.org/1-4295875459,Terna Rete Elettrica Nazionale SpA,14.00%,Possible,terna rete elettrica nazio,,,,No Match,False,Electric Utilities & IPPs,Utilities,Utilities,Italy,Italy,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
urenco finance nv,https://permid.org/1-4297245020,Urenco Finance NV,92.00%,Excellent,urenco finance,https://permid.org/1-5046438306,Urenco Finance UK Ltd,61.00%,Good,False,Electric Utilities & IPPs,Utilities,Utilities,Netherlands,Netherlands,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
verbund ag,https://permid.org/1-4295859071,Verbund AG,92.00%,Excellent,verbund,https://permid.org/1-4295859071,Verbund AG,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Austria,Austria,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
zapadoslovenska energetika as,https://permid.org/1-5000685837,Zapadoslovenska Energetika as,92.00%,Excellent,zapadoslovenska energetika,https://permid.org/1-5000685837,Zapadoslovenska Energetika as,92.00%,Excellent,True,Electric Utilities & IPPs,Utilities,Utilities,Slovakia,Slovakia,591010.0,"Generators and distributors of electric power. Includes hydroelectric, fossil fuel, nuclear, solar, tidal, wind and independent electric power generators.",1
amphenol technologies holding gmbh,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,92.00%,Excellent,amphenol technologies holding,https://permid.org/1-4298510017,Amphenol Technologies Holding GmbH,67.00%,Good,True,Electronic Equipment & Parts,Technology Equipment,Technology,Germany,Germany,571040.0,"Manufacturers of electronic products, such as biometric products, electronic components and parts and display screens.",0
tyco electronics group sa,https://permid.org/1-4297630575,Tyco Electronics Group SA,92.00%,Excellent,tyco electronics group,https://permid.org/1-4297630575,Tyco Electronics Group SA,92.00%,Excellent,True,Electronic Equipment & Parts,Technology Equipment,Technology,Luxembourg,Luxembourg,571040.0,"Manufacturers of electronic products, such as biometric products, electronic components and parts and display screens.",0
worldline sa,https://permid.org/1-4296992313,Worldline SA,92.00%,Excellent,worldline,https://permid.org/1-4296992313,Worldline SA,92.00%,Excellent,True,Financial Technology (Fintech) & Infrastructure,Financial Technology (Fintech) & Infrastructure,Technology,France,France,573010.0,Providers of financial technology (Fintech) services and infrastructure.,0
carrefour sa,https://permid.org/1-4295866751,Carrefour SA,92.00%,Excellent,carrefour,https://permid.org/1-4295866751,Carrefour SA,92.00%,Excellent,True,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,France,France,543010.0,"Retailers operating pharmacies, grocery, convenience, liquor and specialty food stores.",0
esselunga spa,https://permid.org/1-4297965300,Esselunga SpA,92.00%,Excellent,esselunga,https://permid.org/1-4297965300,Esselunga SpA,92.00%,Excellent,True,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,Italy,Italy,543010.0,"Retailers operating pharmacies, grocery, convenience, liquor and specialty food stores.",0
koninklijke ahold delhaize nv,https://permid.org/1-4295884672,Koninklijke Ahold Delhaize NV,92.00%,Excellent,koninklijke ahold delhaize,https://permid.org/1-4295884672,Koninklijke Ahold Delhaize NV,77.00%,Good,True,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,Netherlands,Netherlands,543010.0,"Retailers operating pharmacies, grocery, convenience, liquor and specialty food stores.",0
barry callebaut services nv,https://permid.org/1-4297241934,Barry Callebaut Services NV,92.00%,Excellent,barry callebaut service,https://permid.org/1-5063146718,Barry Callebaut Cocoa Management Services SA de CV,43.00%,Possible,False,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,541020.0,"Producers and processors of Food & Tobacco. Includes operators of farms, aquaculture and fisheries.",1
danone,https://permid.org/1-4295867387,Danone SA,92.00%,Excellent,danone,https://permid.org/1-4295867387,Danone SA,92.00%,Excellent,True,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,France,France,541020.0,"Producers and processors of Food & Tobacco. Includes operators of farms, aquaculture and fisheries.",1
deutsche post ag,https://permid.org/1-4295869983,Deutsche Post AG,92.00%,Excellent,deutsche post,https://permid.org/1-4295869983,Deutsche Post AG,92.00%,Excellent,True,Freight & Logistics Services,Transportation,Industrials,Germany,Germany,524050.0,"Providers of freight and logistics services by all means, such as air, marine and ground.",1
la poste,https://permid.org/1-4297057843,La Poste SA,92.00%,Excellent,la poste,https://permid.org/1-4297057843,La Poste SA,92.00%,Excellent,True,Freight & Logistics Services,Transportation,Industrials,France,France,524050.0,"Providers of freight and logistics services by all means, such as air, marine and ground.",1
poste italiane spa,https://permid.org/1-4295875842,Poste Italiane SpA,92.00%,Excellent,poste italiane,https://permid.org/1-4295875842,Poste Italiane SpA,92.00%,Excellent,True,Freight & Logistics Services,Transportation,Industrials,Italy,Italy,524050.0,"Providers of freight and logistics services by all means, such as air, marine and ground.",1
postnl nv,https://permid.org/1-4295884770,PostNL NV,92.00%,Excellent,postnl,https://permid.org/1-4295884770,PostNL NV,92.00%,Excellent,True,Freight & Logistics Services,Transportation,Industrials,Netherlands,Netherlands,524050.0,"Providers of freight and logistics services by all means, such as air, marine and ground.",1
koninklijke philips nv,https://permid.org/1-4295884721,Koninklijke Philips NV,92.00%,Excellent,koninklijke philip,,,,No Match,False,Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,Netherlands,Netherlands,561010.0,"Manufacturers of advanced medical equipment, medical technology providers and basic medical supplies.",0
fresenius medical care ag  co kgaa,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,83.00%,Good,fresenius medical care ag  co,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,82.00%,Good,True,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,Germany,Germany,561020.0,Operators of healthcare facilities and providers of managed healthcare.,0
fresenius medical care ag and co kgaa,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,92.00%,Excellent,fresenius medical care ag and co,https://permid.org/1-4295869203,Fresenius Medical Care AG & Co KGaA,77.00%,Good,True,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,Germany,Germany,561020.0,Operators of healthcare facilities and providers of managed healthcare.,0
fresenius se  co kgaa,https://permid.org/1-5001439044,Fresenius SE & Co KGaA,78.00%,Good,fresenius se  co,https://permid.org/1-5001439044,Fresenius SE & Co KGaA,73.00%,Good,True,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,Germany,Germany,561020.0,Operators of healthcare facilities and providers of managed healthcare.,0
compagnie de saint gobain sa,https://permid.org/1-4295867362,Compagnie de Saint Gobain SA,92.00%,Excellent,compagnie de saint gobain,https://permid.org/1-4295867362,Compagnie de Saint Gobain SA,92.00%,Excellent,True,Homebuilding & Construction Supplies,Cyclical Consumer Products,Consumer Cyclicals,France,France,532030.0,"Builders of residential homes, mobile homes and prefabricated homes, and manufacturers of value-added building products and home improvement components.",1
signify nv,https://permid.org/1-5050986901,Signify NV,92.00%,Excellent,signify,https://permid.org/1-5050986901,Signify NV,92.00%,Excellent,True,Homebuilding & Construction Supplies,Cyclical Consumer Products,Consumer Cyclicals,Netherlands,Netherlands,532030.0,"Builders of residential homes, mobile homes and prefabricated homes, and manufacturers of value-added building products and home improvement components.",1
compass group finance netherlands bv,https://permid.org/1-5064650117,Compass Group Finance Netherlands BV,92.00%,Excellent,compass group finance netherlands,https://permid.org/1-5064650117,Compass Group Finance Netherlands BV,73.00%,Good,True,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,Netherlands,Netherlands,533010.0,"Operators of hotels, motels, cruise lines, restaurants, casinos, gaming operations, sports stadiums, golf courses, amusement parks and other recreational services.",0
novomatic ag,https://permid.org/1-4297989411,Novomatic AG,92.00%,Excellent,novomatic,https://permid.org/1-4297989411,Novomatic AG,92.00%,Excellent,True,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,Austria,Austria,533010.0,"Operators of hotels, motels, cruise lines, restaurants, casinos, gaming operations, sports stadiums, golf courses, amusement parks and other recreational services.",0
sodexo sa,https://permid.org/1-4295866614,Sodexo SA,92.00%,Excellent,sodexo,https://permid.org/1-4295866614,Sodexo SA,92.00%,Excellent,True,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,France,France,533010.0,"Operators of hotels, motels, cruise lines, restaurants, casinos, gaming operations, sports stadiums, golf courses, amusement parks and other recreational services.",0
steinhoff europe ag,https://permid.org/1-5000025511,Steinhoff Europe AG,92.00%,Excellent,steinhoff europe,https://permid.org/1-5000025511,Steinhoff Europe AG,66.00%,Good,True,Household Goods,Cyclical Consumer Products,Consumer Cyclicals,Austria,Austria,532040.0,"Manufacturers of household appliances, tools, house wares and home furnishing goods.",0
achmea bv,https://permid.org/1-8589934294,Achmea BV,92.00%,Excellent,achmea,https://permid.org/1-4296540298,Achmea Bank NV,25.00%,Possible,False,Insurance,Insurance,Financials,Netherlands,Netherlands,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
aegon nv,https://permid.org/1-4295884931,Aegon NV,92.00%,Excellent,aegon,https://permid.org/1-4295884931,Aegon NV,92.00%,Excellent,True,Insurance,Insurance,Financials,Netherlands,Netherlands,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
allianz finance ii bv,https://permid.org/1-4296777983,Allianz Finance II BV,92.00%,Excellent,allianz finance ii,https://permid.org/1-5043447638,Allianz Finance II Luxembourg SA,54.00%,Possible,False,Insurance,Insurance,Financials,Netherlands,Netherlands,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
assicurazioni generali spa,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92.00%,Excellent,assicurazioni generali,https://permid.org/1-4295875714,Assicurazioni Generali SpA,92.00%,Excellent,True,Insurance,Insurance,Financials,Italy,Italy,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
axa sa,https://permid.org/1-4295867483,AXA SA,92.00%,Excellent,axa,https://permid.org/1-4295867483,AXA SA,92.00%,Excellent,True,Insurance,Insurance,Financials,France,France,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
hannover re,https://permid.org/1-4295869315,Hannover Rueck SE,92.00%,Excellent,hannover re,https://permid.org/1-4295869315,Hannover Rueck SE,92.00%,Excellent,True,Insurance,Insurance,Financials,Germany,Germany,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
hannover rueck se,https://permid.org/1-4295869315,Hannover Rueck SE,92.00%,Excellent,hannover rueck,https://permid.org/1-4295869315,Hannover Rueck SE,92.00%,Excellent,True,Insurance,Insurance,Financials,Germany,Germany,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
mapfre sa,https://permid.org/1-4295889568,Mapfre SA,92.00%,Excellent,mapfre,https://permid.org/1-4295889568,Mapfre SA,92.00%,Excellent,True,Insurance,Insurance,Financials,Spain,Spain,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
nn group nv,https://permid.org/1-5037450400,NN Group NV,92.00%,Excellent,nn group,https://permid.org/1-5037450400,NN Group NV,92.00%,Excellent,True,Insurance,Insurance,Financials,Netherlands,Netherlands,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
sampo oyj,https://permid.org/1-4295866416,Sampo plc,92.00%,Excellent,sampo,https://permid.org/1-4295866416,Sampo plc,92.00%,Excellent,True,Insurance,Insurance,Financials,Finland,Finland,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
talanx ag,https://permid.org/1-4296750143,Talanx AG,92.00%,Excellent,talanx,https://permid.org/1-4296750143,Talanx AG,92.00%,Excellent,True,Insurance,Insurance,Financials,Germany,Germany,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
uniqa insurance group ag,https://permid.org/1-4295858953,UNIQA Insurance Group AG,92.00%,Excellent,uniqa insurance group,https://permid.org/1-4295858953,UNIQA Insurance Group AG,71.00%,Good,True,Insurance,Insurance,Financials,Austria,Austria,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
vienna insurance group ag,https://permid.org/1-4295859017,Vienna Insurance Group AG Wiener Versicherung Gruppe,69.00%,Good,vienna insurance group,https://permid.org/1-4295859017,Vienna Insurance Group AG Wiener Versicherung Gruppe,92.00%,Excellent,True,Insurance,Insurance,Financials,Austria,Austria,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
zurich finance ireland dac,https://permid.org/1-5068935173,Zurich Finance (Ireland) DAC,92.00%,Excellent,zurich finance ireland,https://permid.org/1-5068935173,Zurich Finance (Ireland) DAC,26.00%,Possible,True,Insurance,Insurance,Financials,Ireland,Ireland,553010.0,"Underwriters and carriers of property, casualty, life and health insurance policies, as well as reinsurance carriers.",0
bevco lux sarl,https://permid.org/1-5052148475,Bevco Lux SARL,92.00%,Excellent,bevco lux,https://permid.org/1-5052148475,Bevco Lux SARL,92.00%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551020.0,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations.",1
citycon treasury bv,https://permid.org/1-5044006655,Citycon Treasury BV,92.00%,Excellent,citycon treasury,https://permid.org/1-5044006655,Citycon Treasury BV,92.00%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551020.0,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations.",1
digital intrepid holding bv,https://permid.org/1-5073639223,Digital Intrepid Holding BV,92.00%,Excellent,digital intrepid holding,https://permid.org/1-5073639223,Digital Intrepid Holding BV,64.00%,Good,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551020.0,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations.",1
enodia scrl,https://permid.org/1-4297881749,Enodia SCRL,92.00%,Excellent,enodia,https://permid.org/1-5060518123,Enodia Holding Srl,33.00%,Possible,False,Investment Banking & Investment Services,Banking & Investment Services,Financials,Belgium,Belgium,551020.0,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations.",1
eurogrid gmbh,https://permid.org/1-5001234109,Eurogrid GmbH,92.00%,Excellent,eurogrid,https://permid.org/1-5001234109,Eurogrid GmbH,92.00%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Germany,Germany,551020.0,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations.",1
euronext nv,https://permid.org/1-5042958012,Euronext NV,92.00%,Excellent,euronext,https://permid.org/1-5042958012,Euronext NV,92.00%,Excellent,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551020.0,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations.",1
geberit international bv,https://permid.org/1-5000054357,Geberit International BV,92.00%,Excellent,geberit international,https://permid.org/1-4295890739,Geberit AG,66.00%,Good,False,Investment Banking & Investment Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551020.0,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations.",1
glencore capital finance dac,https://permid.org/1-5076169227,Glencore Capital Finance DAC,92.00%,Excellent,glencore capital finance,https://permid.org/1-5076169227,Glencore Capital Finance DAC,52.00%,Possible,True,Investment Banking & Investment Services,Banking & Investment Services,Financials,Ireland,Ireland,551020.0,"Providers of investment banking, brokerage and investment management services without significant commercial or retail banking operations.",1
