Name_1,OpenPermID_1,OrgName_1,Score_1,Level_1,Name_2,OpenPermID_2,OrgName_2,Score_2,Level_2,EqualOrgName,Primary Industry,Primary Bussiness,Primary Economic,Domiciled,Incorporated,TRBC code,Primary Industry description
volkswagen intl finance nv,https://permid.org/1-4296694478,Volkswagen International Finance NV,92.00%,Excellent,volkswagen intl finance,https://permid.org/1-4296694478,Volkswagen International Finance NV,59.00%,Possible,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
zf europe finance bv,https://permid.org/1-5066539297,ZF Europe Finance BV,92.00%,Excellent,zf europe finance,https://permid.org/1-5066539297,ZF Europe Finance BV,56.00%,Possible,TRUE,Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,Netherlands,Netherlands,531010,"Manufacturers of automobiles, light trucks, motorcycles, as well as related vehicle parts, tires and primary rubber products."
amadeus capital markets sau,https://permid.org/1-5035391193,Amadeus Capital Markets SA,92.00%,Excellent,amadeus capital markets,https://permid.org/1-5035391193,Amadeus Capital Markets SA,77.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
atlas copco finance dac,https://permid.org/1-5061192967,Atlas Copco Finance Dac,92.00%,Excellent,atlas copco finance,https://permid.org/1-4298313843,Epiroc Financial Solutions AB,22.00%,Possible,FALSE,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
basf finance europe nv,https://permid.org/1-4296432601,Basf Finance Europe NV,92.00%,Excellent,basf finance europe,https://permid.org/1-4296432601,Basf Finance Europe NV,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
bat netherlands finance bv,https://permid.org/1-5042933956,BAT Netherlands Finance BV,92.00%,Excellent,bat netherlands finance,https://permid.org/1-5042933956,BAT Netherlands Finance BV,65.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
bp capital markets bv,https://permid.org/1-5076380855,BP Capital Markets BV,92.00%,Excellent,bp capital markets,https://permid.org/1-5000029986,BP Capital Markets America Inc,36.00%,Possible,FALSE,Banking Services,Banking & Investment Services,Financials,United Kingdom,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
bp capital markets plc,https://permid.org/1-4296765192,BP Capital Markets PLC,92.00%,Excellent,bp capital markets,https://permid.org/1-5000029986,BP Capital Markets America Inc,36.00%,Possible,FALSE,Banking Services,Banking & Investment Services,Financials,United Kingdom,United Kingdom,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
bunge finance europe bv,https://permid.org/1-5000214282,Bunge Finance Europe BV,92.00%,Excellent,bunge finance europe,https://permid.org/1-5000214282,Bunge Finance Europe BV,60.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,United States,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
cellnex finance company sau,,,,No Match,cellnex finance company,https://permid.org/1-5079192042,Cellnex Finance Company SA,92.00%,Excellent,FALSE,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
conti gummi finance bv,https://permid.org/1-4296561684,Conti Gummi Finance BV,92.00%,Excellent,conti gummi finance,https://permid.org/1-4296561684,Conti Gummi Finance BV,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
crh finance dac,https://permid.org/1-5052139913,CRH Finance DAC,92.00%,Excellent,crh finance,,,,No Match,FALSE,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010,"Providers of retail, commercial and investment banking, consumer financial services, investment services, commercial loans and diversified financial services."
crh smw finance dac,https://permid.org/1-5074210015,CRH SMW Finance DAC,92.00%,Excellent,crh smw finance,https://permid.org/1-5074210015,CRH SMW Finance DAC,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
daa finance plc,https://permid.org/1-4296837653,Daa Finance PLC,92.00%,Excellent,daa finance,https://permid.org/1-4296837653,Daa Finance PLC,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
delta lloyd nv,https://permid.org/1-4297753012,Banque Nagelmackers NV,67.00%,Good,delta lloyd,,,,No Match,FALSE,Banking Services,Banking & Investment Services,Financials,Belgium,Belgium,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
deutsche bahn finance bv,https://permid.org/1-4296558761,Deutsche Bahn Finance BV,92.00%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83.00%,Good,FALSE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
deutsche bahn finance gmbh,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,92.00%,Excellent,deutsche bahn finance,https://permid.org/1-5057817730,Deutsche Bahn Finance GmbH,83.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Germany,Germany,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
deutsche post finance bv,https://permid.org/1-4296092017,Deutsche Post Finance BV,92.00%,Excellent,deutsche post finance,https://permid.org/1-4296092017,Deutsche Post Finance BV,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
dsv panalpina finance bv,https://permid.org/1-5079903944,DSV Panalpina Finance BV,92.00%,Excellent,dsv panalpina finance,https://permid.org/1-5079903944,DSV Panalpina Finance BV,69.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92.00%,Excellent,eaton capital unlimited co,https://permid.org/1-5051785981,Eaton Capital Unlimited Co,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
enagas financiaciones sau,https://permid.org/1-5037846601,Enagas Financiaciones SAU,92.00%,Excellent,enagas financiaciones,https://permid.org/1-5037846601,Enagas Financiaciones SAU,80.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92.00%,Excellent,engie alliance gie,https://permid.org/1-5000076191,Engie Alliance Gie,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,France,France,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
ferrovial emisiones sa,https://permid.org/1-5038048731,Ferrovial Emisiones SA,92.00%,Excellent,ferrovial emisiones,https://permid.org/1-5038048731,Ferrovial Emisiones SA,78.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
firmenich productions participations sas,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,92.00%,Excellent,firmenich productions participations,https://permid.org/1-5055442099,Firmenich Productions Participations SAS,73.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,France,France,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
givaudan finance europe bv,https://permid.org/1-5073623848,Givaudan Finance Europe BV,92.00%,Excellent,givaudan finance europe,https://permid.org/1-5073623848,Givaudan Finance Europe BV,66.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
glencore finance europe sa,https://permid.org/1-4295882975,Glencore Finance Europe SA,92.00%,Excellent,glencore finance europe,https://permid.org/1-5057819876,Glencore Finance (Europe) Ltd,74.00%,Good,FALSE,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
heimstaden bostad treasury bv,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,92.00%,Excellent,heimstaden bostad treasury,https://permid.org/1-5076386265,Heimstaden Bostad Treasury BV,79.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
hella finance international bv,https://permid.org/1-5055943325,Hella Finance International BV,92.00%,Excellent,hella finance international,https://permid.org/1-5055943325,Hella Finance International BV,71.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
iberdrola finanzas sau,https://permid.org/1-4297231408,Iberdrola Finanzas SA,92.00%,Excellent,iberdrola finanzas,https://permid.org/1-4297231408,Iberdrola Finanzas SA,79.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
liberty mutual fineurope dac,https://permid.org/1-5055406275,Liberty Mutual Finance Europe DAC,15.00%,Possible,liberty mutual fineurope,,,,No Match,FALSE,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
lonza finance international nv,https://permid.org/1-5071534681,Lonza Finance International NV,92.00%,Excellent,lonza finance international,https://permid.org/1-5071534681,Lonza Finance International NV,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Belgium,Belgium,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
merck financial services gmbh,https://permid.org/1-4298412088,Merck Financial Services GmbH,92.00%,Excellent,merck financial services,https://permid.org/1-4298412088,Merck Financial Services GmbH,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Germany,Germany,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
metro finance bv,https://permid.org/1-4296555329,Metro Finance BV,92.00%,Excellent,metro finance,,,,No Match,FALSE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
mohawk capital finance sa,https://permid.org/1-5057810770,Mohawk Capital Finance SA,92.00%,Excellent,mohawk capital finance,https://permid.org/1-5057810770,Mohawk Capital Finance SA,74.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
naturgy capital markets sa,https://permid.org/1-4297561247,Naturgy Capital Markets SA,92.00%,Excellent,naturgy capital markets,https://permid.org/1-4297561247,Naturgy Capital Markets SA,81.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
nestle finance intl ltd,https://permid.org/1-5000734981,Nestle Finance International Ltd SA,77.00%,Good,nestle finance intl,https://permid.org/1-5000734981,Nestle Finance International Ltd SA,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
paccar financial europe bv,https://permid.org/1-4295946639,Paccar Financial Europe BV,92.00%,Excellent,paccar financial europe,https://permid.org/1-4295946639,Paccar Financial Europe BV,68.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
partnerre ireland finance dac,https://permid.org/1-5051778025,Partnerre Ireland Finance DAC,92.00%,Excellent,partnerre ireland finance,https://permid.org/1-5051778025,Partnerre Ireland Finance DAC,38.00%,Possible,TRUE,Banking Services,Banking & Investment Services,Financials,Ireland,Ireland,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
reckitt benckiser treasury services bv,https://permid.org/1-5074211269,Reckitt Benckiser Treasury Services (Nederland) BV,59.00%,Possible,reckitt benckiser treasury services,https://permid.org/1-5000027057,Reckitt Benckiser Treasury Services PLC,92.00%,Excellent,FALSE,Banking Services,Banking & Investment Services,Financials,United Kingdom,United Kingdom,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
redexis gas finance bv,https://permid.org/1-5042223801,Redexis Gas Finance BV,92.00%,Excellent,redexis gas finance,https://permid.org/1-5042223801,Redexis Gas Finance BV,68.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
relx finance bv,https://permid.org/1-5046041361,RELX Finance BV,92.00%,Excellent,relx finance,https://permid.org/1-5046041361,RELX Finance BV,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
ren finance bv,https://permid.org/1-5040232111,REN Finance BV,92.00%,Excellent,ren finance,https://permid.org/1-5040232111,REN Finance BV,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
sagax euro mtn nl bv,https://permid.org/1-5074857091,Sagax EURO MTN NL BV,92.00%,Excellent,sagax euro mtn nl,https://permid.org/1-5074857091,Sagax EURO MTN NL BV,71.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
sudzucker intl finance bv,https://permid.org/1-4296745954,Suedzucker International Finance BV,92.00%,Excellent,sudzucker intl finance,https://permid.org/1-4296745954,Suedzucker International Finance BV,80.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
swisscom finance bv,https://permid.org/1-5073962722,Swisscom Finance BV,92.00%,Excellent,swisscom finance,https://permid.org/1-5001186082,Swisscom Finance Ltd,92.00%,Excellent,FALSE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
telefonica emisiones sau,https://permid.org/1-4297399586,Telefonica Emisiones SAU,92.00%,Excellent,telefonica emisiones,https://permid.org/1-4297399586,Telefonica Emisiones SAU,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Spain,Spain,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
total capital international sa,https://permid.org/1-5035956073,Total Capital International SA,92.00%,Excellent,total capital international,https://permid.org/1-5050919571,TCR International Ltd,25.00%,Possible,FALSE,Banking Services,Banking & Investment Services,Financials,France,France,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
total capital sa,https://permid.org/1-4296676289,Total Capital SA,92.00%,Excellent,total capital,,,,No Match,FALSE,Banking Services,Banking & Investment Services,Financials,France,France,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
unilever finance netherlands bv,https://permid.org/1-5079208960,Unilever Finance Netherlands BV,92.00%,Excellent,unilever finance netherlands,https://permid.org/1-5079208960,Unilever Finance Netherlands BV,69.00%,Good,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
whirlpool finance luxembourg sarl,https://permid.org/1-5052151291,Whirlpool Finance Luxembourg SARL,92.00%,Excellent,whirlpool finance luxembourg,https://permid.org/1-5052151291,Whirlpool Finance Luxembourg SARL,52.00%,Possible,TRUE,Banking Services,Banking & Investment Services,Financials,Luxembourg,Luxembourg,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
wizz air finance company bv,https://permid.org/1-5076170784,Wizz Air Finance Company BV,92.00%,Excellent,wizz air finance company,https://permid.org/1-5076170784,Wizz Air Finance Company BV,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
wpp finance sa,https://permid.org/1-4297937496,WPP Finance SA,92.00%,Excellent,wpp finance,https://permid.org/1-4296994496,WPP Finance (UK),43.00%,Possible,FALSE,Banking Services,Banking & Investment Services,Financials,France,France,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
wurth finance international bv,https://permid.org/1-4297959131,Wurth Finance International BV,92.00%,Excellent,wurth finance international,https://permid.org/1-4297959131,Wurth Finance International BV,92.00%,Excellent,TRUE,Banking Services,Banking & Investment Services,Financials,Netherlands,Netherlands,551010,"Providers of retail and commercial banking, consumer financial services and commercial loans for long-term equipment leases. Includes bank holding companies. Excludes providers of investment banking services, classified in Investment Banking."
anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80.00%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80.00%,Good,TRUE,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,541010,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
anheuser busch inbev nv,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,84.00%,Good,anheuser busch inbev,https://permid.org/1-5051775617,Anheuser Busch Inbev SA,80.00%,Good,TRUE,Beverages,Food & Beverages,Consumer Non-Cyclicals,Belgium,Belgium,541010,"Brewers, distillers, producers and distributors of beer and malt liquor, wine and distilled liquors, as well as non-alcoholic beverages including water, fruit drinks, sodas and other flavored beverages."
